training	pre.uat	post.uat	gain
SP	600	620	20
SP	630	650	20
SP	260	300	40
SP	370	390	20
SP	540	570	30
SP	680	700	20
SP	300	320	20
SP	510	510	0
SP	590	600	10
SP	380	390	10
SP	600	600	0
SP	630	650	20
SP	260	260	0
SP	370	390	20
SP	540	570	30
SP	680	720	40
SP	300	380	80
SP	510	550	40
SP	590	610	20
SP	380	400	20
WM	420	480	60
WM	570	600	30
WM	510	540	30
WM	310	340	30
WM	720	720	0
WM	280	300	20
WM	540	550	10
WM	590	600	10
WM	350	370	20
WM	630	630	0
WM	420	440	20
WM	570	580	10
WM	510	520	10
WM	310	320	10
WM	720	720	0
WM	280	300	20
WM	540	550	10
WM	590	600	10
WM	350	430	80
WM	630	630	0
