task	recall	subject	stim
R	0.48	1	S
R	0.65	2	S
R	0.74	3	S
R	0.83	4	S
R	0.35	5	S
R	0.78	6	S
R	0.63	7	S
R	0.48	8	S
R	0.35	9	S
R	0.52	10	S
R	0.48	11	S
R	0.67	12	S
R	0.24	13	S
R	0.44	14	S
R	0.39	15	S
R	0.63	16	S
R	0.65	17	S
R	0.56	18	S
R	0.57	19	S
R	0.48	20	S
R	0.7	1	D
R	0.63	2	D
R	0.54	3	D
R	0.54	4	D
R	0.35	5	D
R	0.61	6	D
R	0.54	7	D
R	0.35	8	D
R	0.22	9	D
R	0.46	10	D
R	0.33	11	D
R	0.54	12	D
R	0.43	13	D
R	0.35	14	D
R	0.48	15	D
R	0.5	16	D
R	0.63	17	D
R	0.57	18	D
R	0.57	19	D
R	0.5	20	D
S	0.67	21	S
S	0.87	22	S
S	0.69	23	S
S	0.8	24	S
S	0.26	25	S
S	0.54	26	S
S	0.54	27	S
S	0.5	28	S
S	0.31	29	S
S	0.76	30	S
S	0.5	31	S
S	0.76	32	S
S	0.87	33	S
S	0.48	34	S
S	0.89	35	S
S	0.5	36	S
S	0.65	37	S
S	0.43	38	S
S	0.87	39	S
S	0.52	40	S
S	0.61	41	S
S	0.57	21	D
S	0.48	22	D
S	0.67	23	D
S	0.81	24	D
S	0.37	25	D
S	0.46	26	D
S	0.31	27	D
S	0.5	28	D
S	0.28	29	D
S	0.85	30	D
S	0.33	31	D
S	0.48	32	D
S	0.81	33	D
S	0.48	34	D
S	0.67	35	D
S	0.78	36	D
S	0.44	37	D
S	0.59	38	D
S	0.89	39	D
S	0.57	40	D
S	0.54	41	D
W	0.59	42	S
W	0.67	43	S
W	0.63	44	S
W	0.63	45	S
W	0.46	46	S
W	0.63	47	S
W	0.65	48	S
W	0.52	49	S
W	0.78	50	S
W	0.74	51	S
W	0.44	52	S
W	0.69	53	S
W	0.59	54	S
W	0.54	55	S
W	0.8	56	S
W	0.56	57	S
W	0.46	58	S
W	0.65	59	S
W	0.59	60	S
W	0.76	61	S
W	0.72	42	D
W	0.91	43	D
W	0.87	44	D
W	0.94	45	D
W	0.67	46	D
W	0.67	47	D
W	0.7	48	D
W	0.7	49	D
W	0.91	50	D
W	0.89	51	D
W	0.63	52	D
W	0.91	53	D
W	0.94	54	D
W	0.83	55	D
W	0.78	56	D
W	0.7	57	D
W	0.69	58	D
W	0.85	59	D
W	0.8	60	D
W	0.89	61	D
